Order_ID,Order_Date,Customer_Name,Product,Category,Region,Quantity,Cost_Price,Sales,Profit,Sales_Executive,Segment,Team
ORD0001,2025-09-13,Sneha,Chair,Furniture,South,1,2151,2417,266,Ravi,Corporate,Gamma
ORD0002,2025-03-10,Divya,Phone,Electronics,South,7,34045,37523,3478,Vignesh,Consumer,Delta
ORD0003,2025-09-07,Rahul,Chair,Furniture,West,8,42079,52504,10425,Kiran,Consumer,Beta
ORD0004,2025-10-22,Rahul,Phone,Electronics,West,9,41525,50355,8830,Divya,Consumer,Alpha
ORD0005,2025-01-11,Ajay,Table,Furniture,West,9,22072,25575,3503,Suresh,Consumer,Gamma
ORD0006,2025-07-02,Divya,Chair,Furniture,South,10,14475,18690,4215,Vignesh,Home Office,Delta
ORD0007,2025-08-25,Karthik,Monitor,Electronics,East,4,25019,26341,1322,Vignesh,Consumer,Gamma
ORD0008,2025-06-16,Sneha,Phone,Electronics,East,4,36994,38070,1076,Ravi,Consumer,Gamma
ORD0009,2025-03-05,Meena,Phone,Electronics,North,1,18430,25313,6883,Suresh,Home Office,Gamma
ORD0010,2025-03-04,Karthik,Chair,Furniture,East,10,47427,65990,18563,Kiran,Home Office,Delta
ORD0011,2025-03-16,Karthik,Chair,Furniture,East,7,9841,11731,1890,Kiran,Consumer,Delta
ORD0012,2025-04-18,Asha,Printer,Office,South,2,30576,43102,12526,Ravi,Corporate,Gamma
ORD0013,2025-10-21,Rahul,Printer,Office,North,9,27963,29546,1583,Kiran,Consumer,Gamma
ORD0014,2025-03-14,Priya,Printer,Office,West,1,40376,45170,4794,Vignesh,Corporate,Delta
ORD0015,2025-12-06,Asha,Printer,Office,South,10,46026,57698,11672,Kiran,Corporate,Gamma
ORD0016,2025-05-29,Vijay,Notebook,Office,West,1,6044,8571,2527,Ravi,Corporate,Beta
ORD0017,2025-11-10,Priya,Laptop,Electronics,South,1,37182,49316,12134,Divya,Corporate,Beta
ORD0018,2025-09-17,Ajay,Table,Furniture,East,4,49239,70435,21196,Vignesh,Corporate,Delta
ORD0019,2025-06-15,Vijay,Table,Furniture,South,5,28177,40765,12588,Vignesh,Home Office,Delta
ORD0020,2025-11-02,Priya,Notebook,Office,South,2,35117,50975,15858,Kiran,Consumer,Gamma
ORD0021,2025-03-22,Vijay,Printer,Office,East,5,30054,37672,7618,Ravi,Consumer,Delta
ORD0022,2025-08-13,Ajay,Notebook,Office,West,8,12506,18741,6235,Kiran,Home Office,Gamma
ORD0023,2025-07-16,Rahul,Laptop,Electronics,East,8,34378,45423,11045,Kiran,Corporate,Alpha
ORD0024,2025-06-11,Arun,Printer,Office,North,4,23871,32826,8955,Divya,Home Office,Beta
ORD0025,2025-10-23,Rahul,Chair,Furniture,North,2,45936,49681,3745,Vignesh,Corporate,Alpha
ORD0026,2025-05-06,Ajay,Table,Furniture,South,1,38250,46715,8465,Vignesh,Home Office,Delta
ORD0027,2025-01-19,Priya,Printer,Office,North,1,42268,45315,3047,Divya,Consumer,Delta
ORD0028,2025-01-11,Meena,Laptop,Electronics,South,2,14492,18503,4011,Suresh,Consumer,Beta
ORD0029,2025-01-20,Sneha,Laptop,Electronics,North,5,21766,25331,3565,Ravi,Corporate,Delta
ORD0030,2025-07-16,Karthik,Notebook,Office,East,4,44513,48503,3990,Kiran,Corporate,Beta
ORD0031,2025-06-07,Sneha,Table,Furniture,East,7,17463,24388,6925,Vignesh,Corporate,Beta
ORD0032,2025-12-08,Asha,Laptop,Electronics,West,5,32653,38528,5875,Divya,Home Office,Beta
ORD0033,2025-11-19,Arun,Chair,Furniture,North,5,29076,41164,12088,Kiran,Home Office,Delta
ORD0034,2025-01-10,Meena,Laptop,Electronics,North,3,27999,35100,7101,Vignesh,Corporate,Delta
ORD0035,2025-04-30,Rahul,Notebook,Office,East,5,26221,28081,1860,Ravi,Home Office,Beta
ORD0036,2025-07-04,Karthik,Monitor,Electronics,North,6,33574,34447,873,Kiran,Consumer,Delta
ORD0037,2025-12-21,Karthik,Phone,Electronics,North,7,19029,23949,4920,Suresh,Consumer,Beta
ORD0038,2025-12-03,Rahul,Monitor,Electronics,West,10,22283,31352,9069,Divya,Corporate,Gamma
ORD0039,2025-12-17,Meena,Laptop,Electronics,West,7,4719,5414,695,Divya,Consumer,Beta
ORD0040,2025-05-13,Ajay,Phone,Electronics,West,1,9181,11791,2610,Divya,Home Office,Gamma
ORD0041,2025-07-23,Priya,Chair,Furniture,South,1,2042,2313,271,Divya,Consumer,Delta
ORD0042,2025-07-31,Divya,Laptop,Electronics,South,7,47474,56145,8671,Vignesh,Home Office,Delta
ORD0043,2025-07-13,Sneha,Notebook,Office,South,8,39845,45421,5576,Vignesh,Corporate,Delta
ORD0044,2025-05-02,Karthik,Printer,Office,North,8,43153,48420,5267,Divya,Consumer,Alpha
ORD0045,2025-12-20,Meena,Monitor,Electronics,East,7,7039,7680,641,Ravi,Consumer,Alpha
ORD0046,2025-12-06,Priya,Table,Furniture,East,3,14131,16586,2455,Divya,Home Office,Gamma
ORD0047,2025-02-04,Rahul,Table,Furniture,East,7,8726,11066,2340,Vignesh,Consumer,Delta
ORD0048,2025-12-24,Meena,Table,Furniture,West,10,44909,47376,2467,Kiran,Corporate,Gamma
ORD0049,2025-05-12,Vijay,Monitor,Electronics,South,10,16768,23761,6993,Ravi,Consumer,Beta
